clube_id,pontos_num,preco_num,variacao_num,partida_id,mando,nota,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,vencedor
290.0,44.10000000000001,107.64000000000001,9.640000000000002,179872.0,0,80.0,12,28,0,0,6,3,0,2,0,7,11,0,2,0,5,4,0,0,0
262.0,25.9,119.60000000000001,-12.400000000000002,179872.0,1,71.5,12,42,0,0,4,3,0,4,0,12,14,0,4,0,4,1,0,0,0
266.0,63.7,189.10000000000002,3.1,179873.0,1,90.0,12,41,1,1,8,5,2,1,0,10,15,0,0,0,5,0,0,0,1
316.0,6.8,63.63000000000001,-12.370000000000001,179873.0,0,61.0,14,45,0,0,1,3,0,3,0,11,12,1,2,0,0,5,0,3,-1
263.0,8.4,126.78,-32.21999999999999,179874.0,0,72.5,17,39,0,0,5,3,0,1,0,10,22,0,2,0,0,3,0,3,-1
276.0,91.70000000000002,203.5,26.5,179874.0,1,90.5,22,20,3,0,5,2,3,7,0,14,16,0,1,0,5,2,0,0,1
292.0,25.599999999999998,98.61,-5.389999999999998,179875.0,0,87.5,20,17,1,0,2,5,1,2,0,6,22,0,3,0,0,4,0,1,0
277.0,43.3,173.3,-11.700000000000005,179875.0,1,81.5,21,36,1,2,7,10,1,3,0,13,20,0,1,0,0,1,0,1,0
284.0,16.900000000000002,109.76,-18.24,179876.0,0,80.5,17,27,0,0,5,8,0,2,0,12,15,0,2,0,0,0,0,1,-1
293.0,49.9,109.77,14.770000000000001,179876.0,1,78.5,13,28,1,0,0,3,1,3,0,11,17,0,1,0,6,0,0,0,1
264.0,55.70000000000001,148.97000000000003,7.969999999999998,179877.0,0,77.5,15,31,0,0,3,7,0,4,0,18,14,0,0,0,5,1,0,0,0
282.0,38.10000000000001,129.59,-3.4099999999999997,179877.0,1,72.0,12,19,0,0,3,3,0,1,0,6,16,0,0,0,5,2,0,0,0
283.0,39.5,120.03999999999999,1.040000000000001,179878.0,0,87.5,14,26,2,1,2,8,2,3,0,11,20,0,4,0,0,2,0,1,1
265.0,27.4,76.05,3.049999999999998,179878.0,1,68.0,20,14,0,0,6,4,1,0,0,14,14,0,4,0,0,0,0,2,-1
287.0,15.7,83.84,-11.16,179879.0,0,67.0,15,24,0,0,2,4,0,2,0,13,17,0,3,0,0,2,0,1,-1
285.0,59.80000000000001,151.33,11.33,179879.0,1,83.5,16,22,1,1,3,11,1,0,0,11,17,0,2,0,5,0,0,0,1
288.0,20.799999999999997,65.0,2.000000000000002,179880.0,1,74.5,15,31,0,0,6,4,1,3,0,14,13,0,3,0,0,0,0,2,-1
275.0,33.30000000000001,152.23000000000002,-13.769999999999998,179880.0,0,83.5,11,31,2,0,3,6,2,1,0,7,15,0,5,0,0,4,0,1,1
315.0,40.4,91.17999999999998,11.180000000000001,179881.0,1,78.5,25,32,0,0,4,3,0,1,0,12,27,0,0,0,5,0,0,0,0
294.0,49.50000000000001,107.92,14.920000000000002,179881.0,0,77.0,26,25,0,0,5,6,0,2,0,9,25,0,1,0,7,0,0,0,0
285.0,40.0,136.07999999999998,3.29,179882.0,0,73.5,18,44,2,0,2,5,2,1,0,21,21,0,4,0,0,0,0,2,0
263.0,34.8,115.78999999999999,-8.82,179882.0,1,77.0,21,42,2,0,3,11,2,2,0,11,21,0,2,1,0,2,0,2,0
292.0,31.300000000000004,98.63,-1.87,179883.0,1,78.0,19,33,1,0,3,4,2,0,0,12,29,0,1,0,0,1,0,1,1
315.0,29.799999999999997,90.02000000000002,7.049999999999999,179883.0,0,69.0,28,19,1,0,1,4,1,3,0,11,19,0,1,0,0,1,0,2,-1
264.0,77.3,170.45,16.99,179884.0,1,82.5,12,41,2,1,1,1,2,2,0,22,16,0,2,0,5,1,0,0,1
262.0,17.500000000000004,113.36999999999998,-16.67,179884.0,0,73.0,15,43,0,0,4,4,0,0,0,18,13,0,1,1,0,1,0,2,-1
266.0,60.800000000000004,178.58999999999997,8.68,179885.0,0,81.5,15,47,1,0,5,5,1,3,0,17,11,0,2,0,5,1,0,0,1
275.0,19.299999999999997,113.63000000000001,-10.940000000000001,179885.0,1,77.0,11,50,0,0,1,4,0,2,0,15,15,0,1,0,0,4,0,1,-1
